,InletMethod,SMILES,RetentionTime,MolPol,IES,IsPublic
13,grad5min_col1_surt,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,91.5702,352.23825891233565,-0.4708188973405706,Y
14,grad5min_col1_surt,CN(C)CCNC(=O)[C@@H]1CN(C[C@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,92.187,352.15364041684836,-0.4764255073758996,Y
15,grad5min_col2_alk,CN(C)Cc1ccc2CN(CCc2c1)C(=O)c3cc4cc(ncc4n3C)C(F)(F)F,145.8288,278.31067972657075,-0.29946373373176816,Y
16,grad5min_col1_surt,Cn1nc(nc1C2(CC2)c3ccccc3)c4cnc(N)c(n4)n5nnc6ccccc56,167.6748,294.5209269173384,-0.3151843299503484,Y
17,grad5min_col2_alk,Cn1ncc(NC(=O)[C@@H]2CCCC[C@H]2C(=O)c3ccc(cc3)c4ccn[nH]4)c1C#N,124.4562,284.2324671664856,-0.3461946682015921,Y
18,grad5min_col2_alk,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4CCN(Cc4s3)C(=O)CO,78.23400000000002,335.81488772409864,-0.4692386055238557,Y
19,grad5min_col1_surt,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,89.7912,352.23825891233565,-0.4708188973405706,Y
20,grad5min_col2_alk,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccc(cc4s3)S(=O)(=O)CCCN5CCN(C)CC5,78.1968,421.29984362678033,-0.4799384859691189,Y
21,grad5min_col2_alk,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccc(cc4s3)S(=O)(=O)C5CCN(C)CC5,81.84479999999998,388.4300475373256,-0.43426749024149297,Y
22,grad5min_col2_alk,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccc(OC5CCN(C)CC5)cc4s3,105.594,363.76613707247583,-0.3734049779219549,Y
23,grad5min_col1_surt,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,92.226,352.23825891233565,-0.4708188973405706,Y
24,grad5min_col1_surt,CN(C)CCNC(=O)[C@@H]1CN(C[C@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,91.62,352.15364041684836,-0.4764255073758996,Y
25,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4CCN(Cc4s3)C(=O)CO,124.4862,335.81488772409864,-0.4692386055238557,Y
26,grad5min_col2_alk,CN(C)Cc1ccc2CN(CCc2c1)C(=O)c3cc4cc(C)ncc4n3C,122.7,274.84756383845655,-0.26184584489955043,Y
27,grad5min_col2_alk,Cn1cc(NC(=O)[C@@H]2CCCC[C@H]2C(=O)c3ccc(cc3)c4cc[nH]n4)c(n1)C(F)F,128.7948,285.1363712689644,-0.3556182404314082,Y
28,grad5min_col2_alk,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccccc4s3,188.3382,283.85172491630885,-0.2781735703639732,Y
29,grad5min_col1_surt,Cn1nc(nc1C2(CC2)c3ccccc3)c4cnc(N)c(n4)n5nnc6ccccc56,167.658,294.5209269173384,-0.3151843299503484,Y
30,grad5min_col2_alk,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,134.22480000000002,352.23825891233565,-0.4708188973405706,Y
31,grad5min_col2_alk,CN(C)CCNC(=O)[C@@H]1CN(C[C@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,134.2152,352.15364041684836,-0.4764255073758996,Y
32,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4CCN(Cc4s3)C(=O)C,131.7702,331.0189692769783,-0.427630176929289,Y
33,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccc(CN5CCN(C)CC5)cc4s3,89.1588,368.2551156721323,-0.3755458216952499,Y
34,grad5min_col1_surt,CC1=C(Cc2ccc(Cl)cc2)C(=O)n3ncc(C(=O)N4CCCC4)c3N1,136.66920000000002,254.0465463347942,-0.25921073320561805,Y
35,grad5min_col1_surt,Cn1cc(NC(=O)[C@@H]2CCCC[C@H]2C(=O)c3ccc(cc3)c4cc[nH]n4)c(n1)C(F)F,135.49079999999998,285.1363712689644,-0.3556182404314082,Y
36,grad5min_col2_alk,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,136.059,352.23825891233565,-0.4708188973405706,Y
37,grad5min_col1_surt,C[C@H](Nc1ncnc2[nH]cnc12)C3=Nc4ccccc4C(=O)N3c5cccc(F)c5,109.8972,276.1105283871603,-0.35948886537796715,Y
38,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4CCN(Cc4s3)C(=O)CO,124.5012,335.81488772409864,-0.4692386055238557,Y
39,grad5min_col2_alk,CCOc1ccc(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4ccc(CN5CCN(C)CC5)cc4s3,98.2698,378.501918462861,-0.4535050176759836,Y
40,grad5min_col2_alk,CN(C)CCNC(=O)[C@@H]1CN(C[C@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,134.1978,352.15364041684836,-0.4764255073758996,Y
41,grad5min_col2_alk,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,133.5678,352.23825891233565,-0.4708188973405706,Y
42,iso_15_col5_sol6,CCOc1ccc(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4ccc(CN5CCN(C)CC5)cc4s3,202.8498,378.501918462861,-0.4535050176759836,Y
43,grad5min_col1_surt,CN(C)Cc1ccc2CN(CCc2c1)C(=O)c3cc4cc(ncc4n3C)c5ccccc5,61.1772,326.1454968215285,-0.2774333689620156,Y
44,grad5min_col1_surt,C[C@H](N1CCOCC1)c2nc(nn2C)c3cnc(N)c(n3)n4nnc5ccccc45,86.7072,280.9886715240125,-0.3733178172331951,Y
45,grad5min_col2_alk,Cn1nc(nc1C2(CC2)c3ccccc3)c4cnc(N)c(n4)n5nnc6ccccc56,156.717,294.5209269173384,-0.3151843299503484,Y
46,grad5min_col1_surt,O=C(CCC1CCNCC1)NS(=O)(=O)c2ccccc2,56.9172,207.01659366033286,-0.2880846753110347,Y
47,P_4min_10_45_sol6,O=C(CCC1CCNCC1)NS(=O)(=O)c2ccccc2,151.7442,207.01659366033286,-0.2880846753110347,Y
48,grad5min_col2_alk,O=C(CCC1CCNCC1)NS(=O)(=O)c2ccccc2,50.2212,207.01659366033286,-0.2880846753110347,Y
49,grad5min_col2_alk,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,132.9558,352.23825891233565,-0.4708188973405706,Y
50,grad5min_col2_alk,CCOc1ccc(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4ccc(CN5CCN(C)CC5)cc4s3,88.542,378.501918462861,-0.4535050176759836,Y
51,grad5min_col2_alk,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,134.18820000000002,352.23825891233565,-0.4708188973405706,Y
52,grad5min_col2_alk,CN(C)CCNC(=O)[C@@H]1CN(C[C@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,134.1828,352.15364041684836,-0.4764255073758996,Y
53,grad5min_col1_surt,Cn1c(cc2cc(ccc12)S(=O)(=O)C)C(=O)O,98.9118,166.2709247240505,-0.22683268545229776,Y
54,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccc(cc4s3)S(=O)(=O)CCCN5CCN(C)CC5,93.4098,421.29984362678033,-0.4799384859691189,Y
55,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccc(cc4s3)S(=O)(=O)C5CCN(C)CC5,94.017,388.4300475373256,-0.43426749024149297,Y
56,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccc(OC5CCN(C)CC5)cc4s3,94.6242,363.76613707247583,-0.3734049779219549,Y
57,grad5min_col2_alk,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccc(CN5CCN(C)CC5)cc4s3,115.941,368.2551156721323,-0.3755458216952499,Y
58,grad5min_col2_alk,CC1=C(Cc2ccc(Cl)cc2)C(=O)n3ncc(C(=O)N4CCCC4)c3N1,86.7462,254.0465463347942,-0.25921073320561805,Y
59,grad5min_col1_surt,CN(C)Cc1ccc2CN(CCc2c1)C(=O)c3cc4cc(ncc4n3C)C(F)(F)F,82.5,278.31067972657075,-0.29946373373176816,Y
60,grad5min_col2_alk,C[C@@H]1CN(C[C@H](C)N1)C(=O)[C@@H]2CCCN2S(=O)(=O)c3ccc(c(F)c3)c4oc(C)cc4,140.9592,304.00551661785016,-0.3931748917446773,Y
61,grad5min_col1_surt,CN1CCN(CCCS(=O)(=O)c2ccc3nc(Nc4cc(cc(C)n4)C(F)(F)F)sc3c2)CC1,60.567,332.9637478072738,-0.4042182455176339,Y
62,grad5min_col2_alk,CN(C)Cc1ccc2CN(CCc2c1)C(=O)c3cc4ccncc4n3C,119.5818,262.9910264121744,-0.253652168412741,Y
63,grad5min_col2_alk,CN1CCN(CCNC(=O)c2[nH]c3ccc(Cl)cc3c2c4cnn5CCCOc45)CC1,117.1518,306.06753248084726,-0.34627626166517145,Y
64,grad5min_col1_surt,CN[C@H](C(=O)NCCNC(=O)c1[nH]c2ccccc2c1c3ccccc3)c4ccccc4,95.2392,322.3915367932894,-0.36895465615527007,Y
65,grad5min_col2_alk,COc1ccc(cn1)[C@@H](Oc2ccc3c(cnn3c4ccc(F)cc4)c2)[C@H](COCc5ccccc5)NC(=O)C(C)(F)F,186.5892,396.9612032475022,-0.4382210197953674,Y
66,grad5min_col1_surt,Fc1ccc(cc1)S(=O)(=O)NC(=O)CCC2CCNCC2,58.7088,207.41152920140388,-0.3051900380478488,Y
67,grad5min_col2_alk,Cn1c(cc2cc(Cl)ccc12)C(=O)N3CCn4ccnc4C3,124.5042,217.12947899827012,-0.2123763457798732,Y
68,S_4min_10_45_col5_sol6,CN([C@@H]1C[C@@H](Cc2ccccc2)[C@@H](C1)NC(=O)N3CC=CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C6CCOCC6,148.4712,415.6777633843448,-0.4665754896606505,Y
69,grad5min_col1_surt,C[C@H](CF)N(C)C(=O)N[C@@H]1C[C@@H](C[C@H]1Cc2ccccc2)N(C)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5,100.7562,422.3029871921562,-0.5092665249903396,Y
70,grad5min_col1_surt,COC(=O)N[C@@H]1C[C@@H](C[C@H]1Cc2ccccc2)N(C)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5,95.8818,381.85652241706526,-0.4595871430431791,Y
71,grad5min_col1_surt,Cc1nc(cnc1N2CC3CCCC(C2)N3C4CCN(CC4)C(=O)c5ccc(Cl)cc5)c6oc(CN)nn6,55.701,371.1716886849842,-0.4362492659052528,Y
72,grad5min_col2_alk,COC(=O)N[C@@H]1C[C@@H](C[C@H]1Cc2ccccc2)N(C)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5,152.49599999999995,381.85652241706526,-0.4595871430431791,Y
73,grad5min_col2_alk,Cc1nc(cnc1N2CC3CCCC(C2)N3C4CCN(CC4)C(=O)c5ccc(Cl)cc5)c6oc(CN)nn6,128.7618,371.1716886849842,-0.4362492659052528,Y
74,grad5min_col1_surt,O=C1Nc2c(C=C1)ncn2c3ccc(cc3)c4ccccc4,135.4638,216.05256399245025,-0.196580052789406,Y
75,S_4min_10_45_col5_sol2,CS(=O)(=O)c1ccccc1Oc2ccc(cc2)C(=O)NCc3ccccn3,185.9832,270.0635056352751,-0.3065166858941333,Y
76,grad5min_col1_surt,CC1=C(Cc2ccc(Cl)cc2)C(=O)n3ncc(C(=O)NC[C@H]4CCCO4)c3N1,131.8008,270.7076239311874,-0.3082801220421212,Y
77,grad5min_col1_surt,CC1=C(Cc2ccc(Cl)cc2)C(=O)n3ncc(C(=O)N4CCC(O)CC4)c3N1,115.3692,270.59073117782293,-0.3130224064383205,Y
78,grad5min_col1_surt,CC1=C(Cc2ccc(Cl)cc2)C(=O)n3ncc(C(=O)N4CCC(CC4)C(=O)N)c3N1,112.3152,288.48122747655333,-0.36992088842623616,Y
79,grad5min_col2_alk,CC(C)C[C@H](CO)Nc1nc(NS(=O)(=O)C)nc(SCc2cc3COCCn3n2)n1,74.5722,301.6383055523078,-0.472332133293788,Y
80,grad5min_col2_alk,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4CCN(Cc5ccccc5)Cc4s3,145.1268,380.55063164520175,-0.4077353732669596,Y
81,grad5min_col1_surt,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,92.814,352.23825891233565,-0.4708188973405706,Y
82,grad5min_col1_surt,CN(C)CCN(C)C(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,94.6248,364.31786789286565,-0.4620649135717246,Y
83,grad5min_col1_surt,CN(C)CCCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,91.5792,363.9726932675517,-0.4898914639080133,Y
84,grad5min_col2_alk,CN1CCN(CCNC(=O)c2cc3cc(ccc3n2C)c4ccccc4)CC1,145.7982,288.59748511770766,-0.2794485689177845,Y
85,grad5min_col1_surt,CN1CCN(CCNC(=O)c2[nH]c3ccc(Cl)cc3c2c4cnn5CCCOc45)CC1,81.8538,306.06753248084726,-0.34627626166517145,Y
86,grad5min_col1_surt,CN([C@@H]1C[C@@H](Cc2ccccc2)[C@@H](C1)NC(=O)N3CCCOCC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C6CCOCC6,94.0218,433.4421000408166,-0.5100340973026914,Y
87,iso_20_col2_sol6,O[C@H](c1ccccc1)c2ccc3c(cnn3c4ccc(F)cc4)c2,78.6582,233.280228390548,-0.1835739006884299,Y
88,grad5min_col1_surt,CN(C)Cc1ccc2CN(CCc2c1)C(=O)c3cc4ncsc4[nH]3,61.1898,246.99999936057617,-0.2475752123210436,Y
89,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3ccc4OCOc4c3,150.6258,267.0856453857476,-0.3061939830287454,Y
90,Standard_3min_col2_alk,C[C@@H]1CN(Cc2ccc(NC(=O)c3ccc4C(=O)OC(=Nc4c3)C)cc2C(F)(F)F)C[C@H](C)[C@H]1O,114.135,315.34604700356124,-0.4185665118874327,Y
91,Standard_3min_col2_alk,CN1CCN(CC1)c2cccc(c2)N3CCn4c(C3)ncc4c5cc(c(s5)C(=O)NCC(F)(F)F)c6scnc6C,98.1468,402.5929115467502,-0.4125113774800624,Y
92,BEH_NH3_H2O_B2_4,CC(=O)c1nn(CC(=O)N2CC[C@H]3CC[C@H](NC(=O)[C@@H]4C[C@@H]4C(F)(F)F)[C@@H]23)c5ccc(cc15)c6cnc(C)nc6,123.4632,357.06012841907835,-0.4595957404315604,Y
93,BEH_NH3_H2O_B2_4,C[C@@H]1CN(Cc2ccc(NC(=O)c3ccc4OCCNC(=O)c4c3)cc2C(F)(F)F)C[C@H](C)[C@H]1O,129.7158,318.1191854334229,-0.4406942263903577,Y
94,Luna_NH3_1,C[C@@H]1CN(Cc2ccc(NC(=O)c3cccc(c3)C4(CC4)NC(=O)C)cc2C(F)(F)F)C[C@H](C)[C@H]1O,101.5818,336.8167600649453,-0.4387533870378165,Y
95,BEH_NH3_3,Cn1c(CNc2cccc(c2)C(=O)NCc3cccc(c3)C4CCOCC4)nnc1c5ccncc5,120.339,355.98520834127714,-0.3788130478233544,Y
96,BEH_NH3_3,C[C@@H]1CN(Cc2ccc(NC(=O)c3ccc4OCCNC(=O)c4c3)cc2C(F)(F)F)C[C@H](C)[C@H]1O,97.4142,318.1191854334229,-0.4406942263903577,Y
97,BEH_NH3_3,C[C@@H]1CN(Cc2ccc(NC(=O)c3cccc(c3)C4(CC4)NC(=O)C)cc2C(F)(F)F)C[C@H](C)[C@H]1O,88.03620000000002,336.8167600649453,-0.4387533870378165,Y
98,EP_NH3_2,O[C@@H]1[C@@H]2COC[C@H]1CN(Cc3ccc(NC(=O)Cc4ccccc4)cc3C(F)(F)F)C2,88.0368,283.95884977534456,-0.3531371213530178,Y
99,BEH_NH3_H2O_B2_4,C[C@@H]1CN(Cc2ccc(NC(=O)c3sc(C)nc3C)cc2C(F)(F)F)C[C@H](C)[C@H]1O,97.4148,288.00809140963827,-0.3629842766897568,Y
100,BEH_NH3_H2O_B2_4,Cc1ncsc1CNC(=O)c2cccc(NCc3nnc(c4ccns4)n3C)c2,171.396,298.4712708123071,-0.32201949682522674,Y
101,Luna_NH3_1,CC(=O)c1nn(CC(=O)N2CC[C@H]3CC[C@H](NC(=O)[C@](C)(F)C4CCC4)[C@@H]23)c5ccc(cc15)c6cnc(C)nc6,76.5732,377.3650602348445,-0.469732626508916,Y
102,EP_NH3_2,C[C@@H]1CN(Cc2ccc(NC(=O)c3cc4ccccc4[nH]3)cc2C(F)(F)F)C[C@H](C)[C@H]1O,94.377,298.70147666731253,-0.3687793200842892,Y
103,EP_NH3_2,CC(=O)c1nn(CC(=O)N2CC[C@H]3CC[C@H](NC(=O)C(C)(C)F)[C@@H]23)c4ccc(cc14)c5cnc(C)nc5,69.279,347.18587792416383,-0.4506009542723249,Y
104,EP_NH3_2,Cc1cnn(C)c1[C@@H](CO)Nc2c(cnc3ccc(cc23)c4ccncc4)C(=O)NCc5nccn5C,97.413,359.3696263987798,-0.44061732023562794,Y
105,EP_NH3_2,C[C@@H]1CN(Cc2ccc(NC(=O)c3ccc(cc3)n4cccn4)cc2C(F)(F)F)C[C@H](C)[C@H]1O,93.246,316.789340285806,-0.3735121563143083,Y
106,EP_NH3_2,C[C@@H]1CN(Cc2ccc(NC(=O)c3ccc4CNS(=O)(=O)c4c3)cc2C(F)(F)F)C[C@H](C)[C@H]1O,110.9598,317.62562899200856,-0.4493061496261321,Y
107,Standard_3min_col3_sur,C[C@@H]1CN(Cc2ccc(NC(=O)c3sc(nc3C)c4ccc(F)cc4)cc2C(F)(F)F)C[C@H](C)[C@H]1O,92.2098,339.7972528298055,-0.3929023732575194,Y
108,Standard_3min_col3_sur,C[C@H](NC(=O)OCc1ccccc1)C(=O)Nc2ccc(CN3C[C@@H](C)[C@H](O)[C@@H](C)C3)c(c2)C(F)(F)F,79.155,334.8472564836245,-0.4674298169865338,Y
109,BEH_NH3_H2O_B2_4,C[C@@H]1CN(Cc2ccc(NC(=O)c3ccc4OCS(=O)(=O)Nc4c3)cc2C(F)(F)F)C[C@H](C)[C@H]1O,120.3372,322.46352769210387,-0.4676959273671048,Y
110,BEH_NH3_H2O_B2_4,Cn1nccc1c2cc(sc2C(=O)NCC(F)F)c3cnn4cc(cnc34)c5cccc(c5)N6CCNCC6,207.021,374.5158550757348,-0.40569817398560987,Y
111,Standard_3min_col2_alk,CC(=O)c1nn(CC(=O)N2CC[C@H]3CC[C@H](NC(=O)C4(F)CC5(CCC5)C4)[C@@H]23)c6ccc(cc16)c7cnc(C)nc7,107.64,384.1210594861759,-0.4661578418581826,Y
112,Standard_3min_col3_sur,C[C@@H]1CN(Cc2ccc(NC(=O)c3ccccc3C4CCOCC4)cc2C(F)(F)F)C[C@H](C)[C@H]1O,76.668,330.98598546574414,-0.3948122070676493,Y
113,Standard_3min_col3_sur,CC(=O)c1nn(CC(=O)N2CC[C@H]3CC[C@H](NC(=O)[C@@H](F)C4CCC4)[C@@H]23)c5ccc(cc15)c6cnc(C)nc6,98.148,365.61810203661963,-0.45788230026450394,Y
114,BEH_NH3_3,O[C@@]1(CC(=NO1)c2ccc(CC(=O)Nc3ccc4C(=O)N([C@H]5CCC(=O)NC5=O)C(=O)c4c3)cc2)C(F)(F)F,100.539,325.8877156031255,-0.4727538933098199,Y
115,Standard_3min_col2_alk,C[C@@H]1CN(Cc2ccc(NC(=O)Cc3ccccc3)cc2C(F)(F)F)C[C@H](C)[C@]1(C)O,121.1142,295.54916308001793,-0.35125749313949034,Y
116,BEH_NH3_3,Cc1ncsc1c2cc(sc2C(=O)NCC(F)(F)F)c3cnc4CN(CCn34)c5ccc(cc5)S(=O)(=O)C,105.75299999999999,371.5317293989859,-0.4117628472642949,Y
117,Standard_3min_col2_alk,C[C@@H]1CN(Cc2ccc(NC(=O)c3cc4ccsc4[nH]3)cc2C(F)(F)F)C[C@H](C)[C@H]1O,116.1762,294.7987031388672,-0.3577979134071324,Y
118,EP_NH3_2,C[C@H](O)CNC(=O)c1sc(cc1c2ccnn2C)c3cnc4cc(ccn34)c5cccc(c5)N6CCNCC6,126.5898,393.40623050886484,-0.4142160816446671,Y
119,Standard_3min_col3_sur,CC1(F)CCN(Cc2ccc(NC(=O)Cc3ccccc3)cc2C(F)(F)F)CC1,80.6448,268.0049298399332,-0.30245234403856325,Y
120,Standard_3min_col2_alk,COc1cccc(c1)[C@@H](CCC#N)NC(=O)C2(CCN(CC2)C(=O)c3ccccc3c4oc(CNCc5cccs5)cc4)c6ccc(Br)cc6F,126.8088,515.9289588895858,-0.4849102321782761,Y
121,Standard_3min_col2_alk,CC1=CN(CC(=O)N(CCNC(=O)CN(CCNC(=O)C(CCCCN)NC(=O)C(N)CSCC(=O)N)C(=O)CN2C=CC(=NC2=O)N)CC(=O)NCCN(CC(=O)NCCN(CC(=O)NCCN(CC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)N)C(=O)Cn3cnc4C(=O)NC(=Nc34)N)C(=O)CN5C=C(C)C(=O)NC5=O)C(=O)Cn6cnc7C(=O)NC(=Nc67)N)C(=O)NC1=O,113.3382,1334.3860843452444,-2.9240872184315227,Y
122,BEH_NH3_3,COC(=O)[C@H](NCc1oc(cc1)c2ccccc2C(=O)N3CCC(CC3)(C#N)c4ccc(Cl)c(O)c4)c5cccs5,68.23920000000001,406.1473131570687,-0.4124026905738952,Y
123,Standard_3min_col3_sur,CN(Cc1ccccc1)C(=O)c2nc(N)nc3CCCc23,78.81479999999998,207.76733837625113,-0.2702865164325185,Y
124,Standard_3min_col3_sur,Nc1nc2CCCc2c(n1)C(=O)N3CC[C@H](C3)c4cccc(Cl)c4,94.8108,238.75921611817589,-0.27891606343014985,Y
125,BEH_NH3_3,CCS(=O)(=O)c1ccc(CC(=O)Nc2c(F)cc(cc2F)C(O)(C(F)(F)F)C(F)(F)F)cc1,70.3212,267.7760480193193,-0.3834953513722241,Y
126,BEH_NH3_3,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(C)c(cc2C)C(O)(C(F)(F)F)C(F)(F)F)cc1,76.5732,289.58960306273445,-0.4059567921408523,Y
127,EP_NH3_2,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)NCc2ccccc2,110.9592,214.6314403366376,-0.2845186067770105,Y
128,EP_NH3_2,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)Nc2cccc(O)c2,48.4392,207.19676611917785,-0.3141154267959568,Y
129,EP_NH3_2,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)Nc2ccc(Cl)cc2,78.65700000000002,215.0969276415869,-0.276421606884146,Y
130,EP_NH3_2,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)NCc2ccccc2Cl,73.44720000000002,226.99469286967218,-0.2851628575415324,Y
131,BEH_NH3_H2O_B2_4,CN(C)S(=O)(=O)c1ccc(NC(=O)c2nnn(c2C)c3ccccc3)cc1C,51.5652,279.7461984311593,-0.3341114995061892,Y
132,EP_NH3_2,COc1cccc(NC(=O)c2ccc(Cl)cc2)c1,57.8178,182.6270330727025,-0.16934901693556625,Y
133,EP_NH3_2,CCOc1cc(ccc1OC[C@H](O)CNC(C)C)c2cnn(CC3CC3)c2,75.53219999999997,273.11956127957444,-0.30730639883215544,Y
134,Standard_3min_col2_alk,CC1=C(COC(=O)[C@H](NCc2oc(cc2)c3ccccc3C(=O)N4CCC(CC4)(C(=O)NCC5(F)CCC5)c6ccc(Br)cc6F)c7cccs7)OC(=O)O1,132.70680000000002,525.3022725050429,-0.5844412043212796,Y
